participant_id,age,gender,date,trial_number,card_selected,total_before,amount_won,amount_lost,net_change,loss_occurred,total_after,reaction_time_ms
123456,33,Male,2026-03-30 13:44:00,1,C,2000,50,50,0,1,2000,1051
123456,33,Male,2026-03-30 13:44:06,2,C,2000,50,50,0,1,2000,617
123456,33,Male,2026-03-30 13:44:11,3,C,2000,50,0,50,0,2050,567
123456,33,Male,2026-03-30 13:44:17,4,C,2050,50,25,25,1,2075,567
123456,33,Male,2026-03-30 13:44:22,5,C,2075,50,0,50,0,2125,400
123456,33,Male,2026-03-30 13:44:28,6,D,2125,50,0,50,0,2175,467
123456,33,Male,2026-03-30 13:44:34,7,D,2175,50,250,-200,1,1975,733
123456,33,Male,2026-03-30 13:44:39,8,D,1975,50,0,50,0,2025,567
123456,33,Male,2026-03-30 13:44:45,9,D,2025,50,0,50,0,2075,533
123456,33,Male,2026-03-30 13:44:50,10,D,2075,50,0,50,0,2125,600
