participant_id,age,gender,date,trial_number,card_selected,total_before,amount_won,amount_lost,net_change,loss_occurred,total_after,reaction_time_ms,questionnaire,question_number,question_text,response_value,response_label
1,35,Male,2026-03-30 14:01:44,1,D,2000,50,0,50,0,2050,1217,,,,,
1,35,Male,2026-03-30 14:01:49,2,B,2050,100,0,100,0,2150,516,,,,,
1,35,Male,2026-03-30 14:01:55,3,D,2150,50,0,50,0,2200,567,,,,,
1,35,Male,2026-03-30 14:02:11,,,,,,,,,,HSPS,1,Are you easily overwhelmed by strong sensory input?,3,Neither agree nor disagree
1,35,Male,2026-03-30 14:02:12,,,,,,,,,,HSPS,2,Do you seem to be aware of subtleties in your environment?,3,Neither agree nor disagree
1,35,Male,2026-03-30 14:02:13,,,,,,,,,,HSPS,3,Do other people's moods affect you?,3,Neither agree nor disagree
1,35,Male,2026-03-30 14:02:14,,,,,,,,,,HSPS,4,Do you tend to be more sensitive to pain?,3,Neither agree nor disagree
1,35,Male,2026-03-30 14:02:15,,,,,,,,,,HSPS,5,"Do you find yourself needing to withdraw during busy days, into bed or into a darkened room or any place where you can have some privacy and relief from stimulation?",3,Neither agree nor disagree
1,35,Male,2026-03-30 14:02:16,,,,,,,,,,HSPS,6,Are you particularly sensitive to the effects of caffeine?,3,Neither agree nor disagree
1,35,Male,2026-03-30 14:02:17,,,,,,,,,,HSPS,7,"Are you easily overwhelmed by things like bright lights, strong smells, coarse fabrics, or sirens close by?",3,Neither agree nor disagree
1,35,Male,2026-03-30 14:02:17,,,,,,,,,,HSPS,8,"Do you have a rich, complex inner life?",3,Neither agree nor disagree
1,35,Male,2026-03-30 14:02:18,,,,,,,,,,HSPS,9,Are you made uncomfortable by loud noises?,3,Neither agree nor disagree
1,35,Male,2026-03-30 14:02:19,,,,,,,,,,HSPS,10,Are you deeply moved by the arts or music?,3,Neither agree nor disagree
1,35,Male,2026-03-30 14:02:19,,,,,,,,,,HSPS,11,Does your nervous system sometimes feel so frazzled that you just have to go off by yourself?,3,Neither agree nor disagree
1,35,Male,2026-03-30 14:02:20,,,,,,,,,,HSPS,12,Are you conscientious?,3,Neither agree nor disagree
1,35,Male,2026-03-30 14:02:20,,,,,,,,,,HSPS,13,Do you startle easily?,3,Neither agree nor disagree
1,35,Male,2026-03-30 14:02:21,,,,,,,,,,HSPS,14,Do you get rattled when you have a lot to do in a short amount of time?,3,Neither agree nor disagree
1,35,Male,2026-03-30 14:02:21,,,,,,,,,,HSPS,15,"When people are uncomfortable in a physical environment, do you tend to know what needs to be done to make it more comfortable (like changing the lighting or the seating)?",3,Neither agree nor disagree
1,35,Male,2026-03-30 14:02:22,,,,,,,,,,HSPS,16,Are you annoyed when people try to get you to do too many things at once?,3,Neither agree nor disagree
