participant_id,age,gender,date,trial_number,card_selected,total_before,amount_won,amount_lost,net_change,loss_occurred,total_after,reaction_time_ms
12344,44,Male,2026-03-30 11:56:06,1,C,2000,50,0,50,0,2050,1700
12344,44,Male,2026-03-30 11:56:12,2,B,2050,100,0,100,0,2150,1100
12344,44,Male,2026-03-30 11:56:18,3,C,2150,50,75,-25,1,2125,900
12344,44,Male,2026-03-30 11:56:24,4,C,2125,50,50,0,1,2125,833
12344,44,Male,2026-03-30 11:56:31,5,C,2125,50,25,25,1,2150,2533
12344,44,Male,2026-03-30 11:56:47,6,C,2150,50,0,50,0,2200,10550
12344,44,Male,2026-03-30 11:57:00,7,D,2200,50,0,50,0,2250,8401
12344,44,Male,2026-03-30 11:57:09,8,D,2250,50,0,50,0,2300,3633
12344,44,Male,2026-03-30 11:57:18,9,D,2300,50,0,50,0,2350,4033
12344,44,Male,2026-03-30 11:57:26,10,D,2350,50,0,50,0,2400,2533
12344,44,Male,2026-03-30 11:57:39,11,D,2400,50,0,50,0,2450,7883
12344,44,Male,2026-03-30 11:57:47,12,D,2450,50,0,50,0,2500,3550
12344,44,Male,2026-03-30 11:57:59,13,D,2500,50,250,-200,1,2300,6567
12344,44,Male,2026-03-30 11:58:04,14,D,2300,50,0,50,0,2350,500
12344,44,Male,2026-03-30 11:58:10,15,B,2350,100,0,100,0,2450,250
12344,44,Male,2026-03-30 11:58:15,16,D,2450,50,0,50,0,2500,367
12344,44,Male,2026-03-30 11:58:21,17,D,2500,50,0,50,0,2550,1067
