participant_id,age,gender,date,trial_number,card_selected,total_before,amount_won,amount_lost,net_change,loss_occurred,total_after,reaction_time_ms
1,22,Male,2026-03-26 17:39:21,1,A,2000,100,250,-150,1,1850,3183
1,22,Male,2026-03-26 17:39:28,2,B,1850,100,0,100,0,1950,2183
1,22,Male,2026-03-26 17:39:34,3,C,1950,50,0,50,0,2000,833
1,22,Male,2026-03-26 17:39:40,4,C,2000,50,25,25,1,2025,850
1,22,Male,2026-03-26 17:39:46,5,C,2025,50,25,25,1,2050,817
1,22,Male,2026-03-26 17:39:51,6,D,2050,50,0,50,0,2100,917
1,22,Male,2026-03-26 17:39:58,7,D,2100,50,0,50,0,2150,1033
1,22,Male,2026-03-26 17:40:03,8,D,2150,50,250,-200,1,1950,600
1,22,Male,2026-03-26 17:40:10,9,D,1950,50,0,50,0,2000,2017
1,22,Male,2026-03-26 17:40:17,10,D,2000,50,0,50,0,2050,1817
